alpha,hidden_layer_sizes,cv_pr_auc,std,rank
0.01,"(64, 32)",0.35,0.064,1
0.0001,"(64,)",0.336,0.078,2
0.001,"(64,)",0.336,0.078,3
0.1,"(64, 32)",0.336,0.059,4
0.0001,"(64, 32)",0.33,0.056,5
0.001,"(64, 32)",0.33,0.055,6
0.1,"(32, 16)",0.318,0.159,7
0.01,"(64,)",0.309,0.062,8
0.01,"(32, 16)",0.306,0.154,9
0.1,"(16,)",0.274,0.115,10
0.01,"(16,)",0.263,0.13,11
0.0001,"(16,)",0.263,0.13,12
0.001,"(16,)",0.263,0.13,13
0.1,"(64,)",0.249,0.097,14
0.0001,"(32, 16)",0.219,0.16,15
0.001,"(32, 16)",0.218,0.159,16
0.01,"(32,)",0.182,0.165,17
0.001,"(32,)",0.181,0.164,18
0.0001,"(32,)",0.181,0.164,19
0.1,"(32,)",0.176,0.156,20
